2026-03-29 12:11:32,524 | INFO     | qushield.extended_discovery | ExtendedDiscoveryService initialized
2026-03-29 12:11:32,524 | INFO     | qushield.output_collector | OutputCollector initialized
2026-03-29 12:11:32,525 | INFO     | qushield.workflow | Starting QuShield workflow for pnb.bank.in
2026-03-29 12:11:32,525 | INFO     | qushield.output_collector | Started output collection for pnb.bank.in
2026-03-29 12:11:32,526 | INFO     | qushield.discovery | Starting asset discovery for pnb.bank.in
2026-03-29 12:11:39,513 | INFO     | qushield.discovery | Discovered 252 assets
2026-03-29 12:11:39,513 | INFO     | qushield.qushield.workflow | _layer1_discovery completed
2026-03-29 12:11:39,514 | INFO     | qushield.output_collector | collect_layer1 completed
2026-03-29 12:11:39,514 | INFO     | qushield.output_collector | Collecting Layer 1 outputs for 252 assets
2026-03-29 12:13:15,178 | INFO     | qushield.output_collector | Layer 1 collection complete: 252 assets, 3 DNS records
2026-03-29 12:13:15,184 | INFO     | qushield.output_collector | Starting extended discovery for 252 assets
2026-03-29 12:13:18,163 | INFO     | qushield.extended_discovery | WHOIS lookup successful for pnb.bank.in
2026-03-29 12:13:18,165 | INFO     | qushield.output_collector | WHOIS collected for pnb.bank.in
2026-03-29 12:13:19,072 | INFO     | qushield.extended_discovery | Resolved 8 NS records for pnb.bank.in
2026-03-29 12:13:19,376 | INFO     | qushield.extended_discovery | Resolved 3 MX records for pnb.bank.in
2026-03-29 12:13:19,485 | INFO     | qushield.extended_discovery | Resolved 12 TXT records for pnb.bank.in
2026-03-29 12:13:19,510 | INFO     | qushield.output_collector | DNS records collected: 8 NS, 3 MX, 13 TXT
2026-03-29 12:13:22,105 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.159: AS137130
2026-03-29 12:13:22,111 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:13:22,135 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.159: AS137130
2026-03-29 12:13:22,135 | INFO     | qushield.extended_discovery | Scanning 7 ports on aafip.pnb.bank.in
2026-03-29 12:13:27,202 | INFO     | qushield.extended_discovery | Found 1 open ports on aafip.pnb.bank.in
2026-03-29 12:13:27,204 | INFO     | qushield.extended_discovery | Detected 1 services on aafip.pnb.bank.in
2026-03-29 12:13:27,217 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.159: AS137130
2026-03-29 12:13:27,487 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.188: AS137130
2026-03-29 12:13:27,489 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:13:27,503 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.188: AS137130
2026-03-29 12:13:27,504 | INFO     | qushield.extended_discovery | Scanning 7 ports on aafiu.pnb.bank.in
2026-03-29 12:13:32,543 | INFO     | qushield.extended_discovery | Found 1 open ports on aafiu.pnb.bank.in
2026-03-29 12:13:32,546 | INFO     | qushield.extended_discovery | Detected 1 services on aafiu.pnb.bank.in
2026-03-29 12:13:32,560 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.188: AS137130
2026-03-29 12:13:32,829 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.217: AS137130
2026-03-29 12:13:32,830 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:13:32,843 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.217: AS137130
2026-03-29 12:13:32,844 | INFO     | qushield.extended_discovery | Scanning 7 ports on ams.pnb.bank.in
2026-03-29 12:13:37,880 | INFO     | qushield.extended_discovery | Found 1 open ports on ams.pnb.bank.in
2026-03-29 12:13:37,883 | INFO     | qushield.extended_discovery | Detected 1 services on ams.pnb.bank.in
2026-03-29 12:13:37,897 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.217: AS137130
2026-03-29 12:13:38,164 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.105: AS137130
2026-03-29 12:13:38,165 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:13:38,288 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.105: AS137130
2026-03-29 12:13:38,289 | INFO     | qushield.extended_discovery | Scanning 7 ports on analytics.pnb.bank.in
2026-03-29 12:13:43,325 | INFO     | qushield.extended_discovery | Found 1 open ports on analytics.pnb.bank.in
2026-03-29 12:13:43,325 | INFO     | qushield.extended_discovery | Detected 1 services on analytics.pnb.bank.in
2026-03-29 12:13:43,338 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.105: AS137130
2026-03-29 12:13:43,611 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.227.85: AS137130
2026-03-29 12:13:43,611 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:13:43,629 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.227.85: AS137130
2026-03-29 12:13:43,629 | INFO     | qushield.extended_discovery | Scanning 7 ports on apicasa.pnb.bank.in
2026-03-29 12:13:48,674 | INFO     | qushield.extended_discovery | Found 0 open ports on apicasa.pnb.bank.in
2026-03-29 12:13:48,692 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.227.85: AS137130
2026-03-29 12:13:48,966 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.51: AS137130
2026-03-29 12:13:48,968 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:13:48,980 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.51: AS137130
2026-03-29 12:13:48,981 | INFO     | qushield.extended_discovery | Scanning 7 ports on apim.pnb.bank.in
2026-03-29 12:13:54,005 | INFO     | qushield.extended_discovery | Found 1 open ports on apim.pnb.bank.in
2026-03-29 12:13:54,005 | INFO     | qushield.extended_discovery | Detected 1 services on apim.pnb.bank.in
2026-03-29 12:13:54,018 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.51: AS137130
2026-03-29 12:13:54,283 | INFO     | qushield.extended_discovery | ASN lookup successful for 1.7.178.30: AS9583
2026-03-29 12:13:54,284 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:13:54,297 | INFO     | qushield.extended_discovery | ASN lookup successful for 1.7.178.30: AS9583
